IDNOREMP;IDTIPODOC;NUMDOC;DV;INSCRIP  MATRIC / RENOVACIÓN ;CAMARA;INSCRIPCIÓN /MATRICULA;CIIU;NOVEDAD;RAZSOC;NOMCOM;SIGLA;DIRECCION;IDDEPTO;IDMCIPIO;TEL;EXT;EMAIL;WEB;DIRECCION NOT;IDDEPTO  NOT;IDMCIPIO NOT;TEL NOT;EXT NOT;EMAIL NOT;WEB NOT;ORGJUR;NOMREP;CSEDE;prioridad;orgjucual;fechaconst;fechahasta;capsocin;capsocinpu;capsocinpr;capsocie;capsociepu;capsociepr;estadoact;otro;estagrop;estminero;estind;estservpub;estconst;estcom;estreshot;esttrans;estcomunic;estfinanc;estservcom;uniaux;fechadili;responde;carresponde;teler;faxr;emailres;;aa;aanotifica;estser;otrose;actie;actic;lgg;estcart;correlativa;envcorr;vericorr;fec_correo;activa;fechadist
8190;1;891304762;;;;;1090;99;ITALCOL DE OCCIDENTE SA;ITALCOL DE OCCIDENTE SA;;KM 11 VIA RECTA PALMIRA-CALI;76;520;2750505;;esteliaruiz@italcol.com;www.italcol.com.co;KM 11 VIA RECTA PALMIRA-CALI;76;520;2750505;;esteliaruiz@italcol.com;www.italcol.com.co;5;NESTOR RAUL PEDRAZA TORRES;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8232;1;891300959;;;;;2011;99;SUCROAL S.A.;SUCROAL S.A.;;RECTA CALI-PALMIRA km.18 Vereda La Herradura;76;520;4310500;;ggutierrez@sucroal.com.co;www.sucroal.com.co;RECTA CALI - PALMIRA Km.18 Vereda La Herradura;76;520;4310500;;ggutierrez@sucroal.com.co;www.sucroal.com.co;5;JAIME DARIO COLMENARES C;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8335;1;890301602;;;;;2023;99;LLOREDA S.A.;LLOREDA S.A.;;CL 15 # 28-370;76;892;6619200;;eegas1980@hotmail.com;www.lloreda.com.co;CL 15 # 28 - 370   ACOPI;76;892;6619200;;eegas198@hotmail.com;www.lloreda.com.co;5;Alberto Alarcon Guzman;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8391;1;890307885;;;;;2221;99;PLASTICOS ESPECIALES S.A.;PLASTICEL S. A.;;CL 15 # 29-69;76;892;6901010;;juan.romero@aldoronline.com;www.plasticel.com;CLL 15 # 29 - 69    ACOPI;76;892;6901010;;juan.romero@aldoronline.com;www.plasticel.com;5;RAIJ ALJURE NASSER;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8419;1;890333023;;;;;2410;99;SIDERURGICA DEL OCCIDENTE S.A.;SIDERURGICA DEL OCCIDENTE S.A.;;CL 12A # 37-15;76;892;6644717;;gerenciageneral@sidocsa.com;www.sidocsa.com;CL 12 A # 37 - 15;76;892;6644717;;gerenciageneral@sidocsa.com;www.sidocsa.com;5;MARCELA MEJIA VALENCIA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8424;1;890300213;;;;;2429;99;ALUMINIO NACIONAL S.A.;ALUMINA S.A.;;KR 32 # 11-10;76;892;6644765;;alumina@alumina.com.co;www.alumina.com.co;KR 32 # 11 - 101   ACOPI;76;892;6510400;;alumina@alumina.com.co;www.alumina.com.co;5;GERMAN JARAMILLO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8427;1;805007674;;;;;2511;99;ESTRUMETAL S.A.;EDIFICIOS Y PUENTES DE ACERO;;CR 25 # 13-117 PARCELACION LA Y Acopi;76;892;6665150;;contabilidad@estrumetal.com.co;www.estrumetal.com.co;CRA 25 # 13-117 PARCELAC. LA Y acopi;76;892;6665150;;contabilidad@estrumetal.com.co;www.estrumetal.com.co;5;PABLO ANDRES TASCON ECHEVERRY;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8446;1;890300431;;;;;2732;99;CABLES DE ENERGIA Y DE TELECOMUNICACIONES S.A.;CENTELSA;;CL 10 # 38-43 ACOPI;76;892;6083400;;fernanda.morales@centelsa.com.co;www.centelsa.com.co;CL 10 # 38 - 43   ACOPI;76;892;6083400;;fernanda.morales@centelsa.com.co;www.centelsa.com.co;5;ALBERTO RUBIO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8455;1;890301886;;;;;3091;99;FABRICA NACIONAL DE AUTOPARTES S.A.;FANALCA S.A.;;CL 13 # 31A-80;76;892;6515300;;fanalca@fanalca.com.co;www.fanalca.com.co;CL 13 # 31 A - 80;76;892;6645006;;fanalca@fanalca.com.co;www.fanalca.com.co;5;JOAQUIN LOSADA FINA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8457;1;890101815;;;;;2023;99;JOHNSON & JOHNSON DE COLOMBIA S. A.;JOHNSON & JOHNSON DE COLOMBIA S. A.;;CL 15 # 31-146;76;892;6513333;;lcasalla@its.jnj.com;WWW.JNJCOLOMBIA.COM;CL 15 # 31 - 146   ACOPI;76;892;6513333;;lcasalla@its.jnj.com;WWW.JNJCOLOMBIA.COM;5;Gustavo Alberto Molina Rios;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8489;1;890300466;;;;;2100;99;TECNOQUIMICAS S.A.;TECNOQUIMICAS S.A.;;CL 23 # 7-39;76;1;8825555;;amoran@tecnoquimicas.com;www.tecnoquimicas.com.co;CL 23 # 6-65;76;1;8825555;;acardozo@tecnoquimicas.com;www.tecnoquimicas.com.co;5;CARLOS ALBERTO QUINTERO ROA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8501;1;891300241;;;;;1071;99;MANUELITA S. A.;MANUELITA S. A.;;LA MANUELITA KM 7;76;520;2752727;;freddy.lopez@manuelita.com;www.munuelita.com;KM 7  VIA PALMIRA-CERRITO;76;520;2752727;;diego.vivas@manuelita.com;www.munuelita.com;5;BELALCAZAR HERNANDEZ RODRIGO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8507;1;890301960;;;;;1701;99;CARVAJAL PULPA Y PAPEL S.A;CARVAJAL PULPA Y PAPEL S.A-PROPAL;;CARRETRA YUMBO   KM 6;76;892;6512000;;propaljuridica@propal.com.co;www.propal.com.co;Kilometro 6 Antigua Carretera a Yumbo;76;892;6512000;;propaljuridica@propal.com.co;www.propal.com.co;5;LUCY CHAVEZ DE LARA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8511;1;891300382;;;;;1051;99;HARINERA DEL VALLE S.A.;HARINERA DEL VALLE S.A.;;KR 1A # 47-20;76;1;4187000;;vh.celis@harineradelvalle.com;www.harineradelvalle.com;KR 1 # 47 - 20;76;1;4187000;;vh.celis@harineradelvalle.com;www.harineradelvalle.com;5;ALFONSO OCAMPO GAVIRIA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8515;1;860004855;;;;;2211;99;GOODYEAR DE COLOMBIA S.A.;GOODYEAR DE COLOMBIA S.A.;;AUTO CALI-YUMBO;76;892;6088300;;mayerly_perez@goodyear.com;www.goodyear.com;CLL 10 D No. 15 - 39 Arroyohondo;76;892;6088300;;mayerly_perez@goodyear.com;www.goodyear.com;5;Jose Ricardo Romanini;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8517;1;890300406;;;;;1702;99;CARTON DE COLOMBIA S.A.;CARTON DE COLOMBIA S.A.;;CL 15 # 18-109 PUERTO ISAACS;76;892;6914000;;joel.rojas@smurfitkappa.com.co;http://www.smurfitkappa.com/vhome/co;CL 15 # 18-109 PUERTO ISAACS;76;892;6914000;;joel.rojas@smurfitkappa.com.co;http://www.smurfitkappa.com/vhome/co;5;GUILLERMO GOMEZ CANALES;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620080;1;800096812;;;;;1811;99;CARVAJAL SOLUCIONES DE COMUNICACION S.A.S;CARVAJAL SOLUCIONES DE COMUNICACION S.A.S;;CL 29 N # 6A-40 N;76;1;6618150;;Impuesto.carvajal@carvajal.com;www.carvajalsolucionesdecomunicacion.com;CL 29 N # 6 A - 40;76;1;6618150;;Impuesto.carvajal@carvajal.com;www.carvajalsolucionesdecomunicacion.com;14;LUIS ANTONIO BOTERO PARDO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620103;1;800130149;;;;;1410;99;SUPERTEX S.A.;SUPERTEX S.A.;;KR 35 # 10-707;76;892;6851930;;mcortes@supertexinc.com;www.supertexinc.com.co;KR 35 # 10 - 707   ACOPI;76;892;6851930;;mcortes@supertexinc.com;www.supertexinc.com.co;5;SANDRA LILIANA LOPEZ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620128;1;800099903;;;;;1811;99;CARVAJAL EDUCACION S.A.S.;CARVAJAL EDUCACION S.A.S. (BICO);;CL 15 # 32-234;76;892;6668300;;impuesto.carvajal@carvajal.com;www.carvajal.com;CLL 29 N # 6 A - 40;76;892;6618150;;impuesto.carvajal@carvajal.com;www.carvajal.com;5;GUIDO JARAMILLO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620155;1;805003626;;;;;1410;99;STF GROUP S.A.;STF GROUP S.A;;CRA 34 10 581;76;892;6850000;;madeleine.gutierrez@studiof.com.co;www.studiof.com.co;CRA 34 No. 10 - 581;76;892;6850000;;madeleine.gutierrez@studiof.com.co;www.studiof.com.co;5;CARLOS ALBERTO ACOSTA HAZZI;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620467;1;800096040;;;;;1082;99;COMESTIBLES ALDOR S. A.;COMESTIBLES ALDOR S. A.;;CL 15 # 29-69;76;892;6919600;;Juan.romero@aldoronline.com;www.aldoronline.com;CLL 15 # 29 - 69 ACOPI;76;892;6919600;;juan.romero@aldoronline.com;www.aldoronline.com;5;LEONARDO ALJURE;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620507;1;815002042;;;;;1399;99;P.G.I. COLOMBIA LTDA.;P.G.I. COLOMBIA LTDA.;;ZONA FRANCA DEL PACIFICO KILOMETRO 6 VIA AL AEROPUERTO;76;520;2801200;;castillol@pginw.com;www.pginw.com;ZONA FRANCA DEL PACIFICO;76;520;2801200;;narvaezh@pginw.com;www.pginw.com;4;MARIA TERESA VILLAMIL O;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620582;1;815002936;;;;;2310;99;CRISTAR S.A.;CRISTAR S.A.;;CL 1 S # 18-89;76;111;2387800;;cristar@o-i.com;www.cristar.com;CL 39 SUR # 48 - 180;5;266;3788000;;peldar@o-i.com;www.cristar.com;5;ALVARO SUAREZ QUICENO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620926;1;800118334;;;;;2023;99;BELLEZA EXPRESS S.A;BELLEZA EXPRESS S.A;;CLL 36  #134-201 KM 6 VIA CALI JAMUNDI;76;364;5552255;;fsanchez@bellezaexpress.com;www.bellezaexpress.com;CLL 36 #134-201 KM 6 VIA CALI-JAMUNDI;76;364;5552255;;fsanchez@bellezaexpress.com;www.bellezaexpress.com;5;JUAN RAMON GUZMAN SANCHEZ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620951;1;900150942;;;;;1071;99;AGROINDUSTRIAS DEL CAUCA S.A.;AGROINDUSTRIAS DEL CAUCA S.A.;;VIA A PUERTO TEJADA GUACHENE;76;1;3930365;;amadrid@agroindustriasdelcauca.com;;CALLE 23N  4N-50;76;1;6602390;;amadrid@agroindustriasdelcauca.com;;5;TOMAS LLANO DOMINGUEZ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841691;1;900136638;;;;;1103;99;CERVECERIA DEL VALLE S.A;CERVECERIA DEL VALLE;;Cll 15 No.25A-37;76;892;6919488;;Luis.Rodriguez5@bay.sabmiller.com;www.bavaria.com.co;Cll 94 No.7A-47;11;1;6389349;;Luis.Rodriguez5@bay.sabmiller.com;www.bavaria.com.co;5;JUAN DARIO VELASQUEZ CRUZ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
843532;1;900546985;;;;;2421;99;GIRALDO Y DUQUE S.A.;GIRALDO Y DUQUE S.A.;;Avda 2 DN No.24-45;76;1;5243474;;asistentecontabilidad@cigydltda.com;www.cigydltda.com;Avda 2 DN No.24-45;76;1;5243474;;asistentecontabilidad@cigydltda.com;www.cigydltda.com;5;ALEXANDER DUQUE BUILES;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
844792;1;900479267;;;;;2421;99;FUNDICION RAMIREZ ZONA FRANCA SAS;FUNDICION RAMIREZ ZONA FRANCA SAS;;ZONA FRANCA PALMASECA BD A5B;76;1;6511026;;FUNDICIONRAMIREZ@HOTMAIL.COM;WWW.FUNDICIONRAMIREZZFSAS.COM;ZONA FRANCA PALMASECA BD A5B;76;1;6511026;;FUNDICIONRAMIREZ@HOTMAIL.COM;WWW.FUNDICIONRAMIREZZFSAS.COM;14;VIRGEN LOZANO HERMES;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
845265;1;805018495;;;;;1011;99;CERDOS DEL VALLE S.A;CERVALLE S.A;;Cra 29 B No.11-90 ACOPI;76;892;4881818;;contabilidad@cervalle.com;www.cervalle.com;Cra 29 B No.11-90 ACOPI;76;892;4881818;;contabilidad@cervalle.com;www.cervalle.com;5;JAVIER JIMENEZ ARANA;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
840997;;900056651;;;;;1011;99;PRODUCTOS CARNICOS OLCARNES S.A;PRODUCTOS CARNICOS OLCARNES S.A;;KR 77 # 30-52  P 2;5;1;3421807;;gerencia.comcarlop@gmail.com;;KR 77 # 30-52  P 2;5;1;3421807;;gerencia.comcarlop@gmail.com;;5;OCTAVIO LOPEZ JARAMILLO;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035;1;860052527;;;;;1011;99;SALSAMENTARIA MARTMORE LTDA;SALSAMENTARIA MARTMORE LTDA;;KR 34 A # 3 35;11;1;2778369;;martmorecol@yahoo.com;;CRA 34 A # 3  35;11;1;2778349;;martmore@yahoo.com;;4;JOSE GERMAN MORENO RUBIO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
844993;1;4168704;;;;;1011;99;CARLOS ALBERTO DIAZ HURTADO;CARNES FRIAS BIFF DE MARANATHA;;CRA 20 5-89;15;759;7718251;;carnesbiff@hotmail.com;www.biff.com.co;CRA 20 N° 5-91;15;759;7718251;;carnesbiff@hotmail.com;www.biff.com.co;11;DIAZ HURTADO CARLOS ALBERTO;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6875;1;800037730;;;;;1011;99;SALSAMENTARIA  CADIZ  LTDA.;SALSAMENTARIA  CADIZ  LTDA.;;KR 12 # 53-15;76;1;4421966;;salsamentariacadiz@hotmail.com;;KR 12 # 53 - 15;76;1;4421966;;salsamentariacadiz@hotmail.com;;4;ABW;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
845289;1;900597662;;;;;1011;99;ALTERNATIVAS ALIMENTICIAS DEL PACIFICO SAS;ALTERNATIVAS ALIMENTICIAS DEL PACIFICO SAS;;Cll 9E No.23-23;76;1;3700212;;aalimenticias@yahoo.com;;Cll 9E No.23-23;76;1;3700212;;aalimenticias@yahoo.com;;14;HUGO FERNANDO TREJOS NARANJO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841061;1;94404909;;;;;1011;99;VALENCIA SOTO  ALFREDO;HACIENDA  LA  VALENCIANA;;CRA  23C 8-28;76;1;5588210;;conta.valenciana@gmail.com;;CRA  23C 8-28;76;1;5588210;;conta.valenciana@gmail.com;;11;ALFREDO  VALENCIA  SOTO;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
845153;1;19158301;;;;;1011;99;CASTRO MEDINA CARLOS JULIO;SABYI ALIMENTOS VEGETALES;;AV CR 24 NO. 86 A 40;11;1;6225583;;VENTAS@SABYI.COM;WWW.SABYI.COM;AV CR 24 NO. 86 A 40;11;1;6225583;;VENTAS@SABYI.COM;WWW.SABYI.COM;9;CASTRO MEDINA CARLOS JULIO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
999;2;19089191;;;;;1011;99;RODRIGUEZ CARLOS;SALSAMENTARIA NORTE¾A;;KR 54 BIS # 131-29;11;1;2533180;;andrurodri@hotmail.com;;CRA. 54 BIS # 131-29;11;1;2533180;;andresyrodri@gmail.com;;11;CARLOS GILBERTO RODRIGUEZ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120893;1;830126110;;;;;1011;99;SALSAMENTARIA HAMBURGUER LTDA.;SALSAMENTARIA HAMBURGUER;;KR 72A # 5-33 S;11;1;2930404;;salsamentariahamburguerltda@hotmail.com;;KR 72 A # 5 - 33 SUR;11;1;2930404;;linamireya14@hotmail.com;;4;LUIS ALBERTO BELTRAN URREGO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
845147;1;811042089;;;;;1011;99;CARNES FRIAS BREMEN S.A.S;CARNES FRIAS BREMEN;;CR. 65 N° 75 A - 22 MED.;5;1;2576462;;CARNESFRIASBREMEN@HOTMAIL.COM;;CR. 65 N° 75 A - 22 MED.;5;1;2576462;;CARNESFRIASBREMEN@HOTMAIL.COM;;14;DIANA PATRICIA PEREZ SUESCUN;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841890;1;830016227;;;;;1011;99;PRODUCTOS ALIMENTICIOS EL GLOTÓN S.A.S;PRODUCTOS ALIMENTICIOS EL GLOTÓN S.A.S;;CL 164 Nº 19 A 13/17;11;1;6704240;;zarethgarcia@elglotonltda.com;www.elglotonltda.com;CL 164 Nº 19 A 13/17;11;1;6704240;;contabilidad@elglotonltda.com;www.elglotonltda.com;14;JOSE DE JESUS GARCIA;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
845132;1;26500439;;;;;1011;99;ROJAS DE BORRERO OLGA;SALSAMENTARIA LAS BRISAS;;CARRERA 5 NO. 17-27 SUR;41;1;8730019;;lasbrisasolga@hotmail.com;www.carneslasbrisas.com;CARRERA 5 NO. 17-27 SUR;41;1;8730019;;lasbrisasolga@hotmail.com;www.carneslasbrisas.com;11;ROJAS DE BORRERO OLGA;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5946;1;900363356;;;;;1011;99;ORTIZ Y COMPAÑIA S.A.S.;COLOMBO ALEMANA CARNES FRIAS;;Carrera 34W No. 71-67 Bodega No. 54 de Provincia de Soto I Etapa;68;1;6375050;;colomboalemana.carnesfrias@gmail.com;www.colomboalemanacarnesfrias.com;Carrera 34W No. 71-67 Bodega No. 54 de Provincia de Soto I Etapa;68;1;6375050;;colomboalemana.carnesfrias@gmail.com;www.colomboalemanacarnesfrias.com;14;JORGE ORTIZ DIAZ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120839;1;830061155;;;;;1011;99;CARNES FRIAS REICAR SAS;CARNES FRIAS REICAR SAS;;CR 65 A 18 82;11;1;4140912;;reicar@etb.net.co;www.carnesfriasreicar.com.co;CR 65 A 18 82;11;1;7604487;;reicar@etb.net.co;www.carnesfriasreicar.com.co;14;JOSE REINALDO CARDENAS MARTINEZ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1021;1;830018813;;;;;1011;99;COMPAÑIA PROCESADORA DE ALIMENTOS FRIGOALTO  S.A;FRIGOSAN;;CL32SUR No 51A-09;11;1;7130742;;info@frigosan.com;www.frigosan.com;CL32SUR No 51A-09;11;1;7130742;;info@frigosan.com;www.frigosan.com;5;JOSE ALBERTO TORRES;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9283;1;900064003;;;;;1011;99;CARNICOS EXTRA S.A.;CARNICOS EXTRA.;;CL 29 # 45-20;5;1;2621102;;carnicosextrasa@une.net.co;www.carnicosextra.com.co;CLL 29 # 45 - 20;5;1;2621102;;carnicosextrasa@une.net.co;www.carnicosextra.com.co;5;RAFAEL ANGEL CARDONA GOMEZ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
844994;1;830084981;;;;;1011;99;INVERSIONES AVICENTRO S.A.;INVERSIONES AVICENTRO S.A.;;CR 34 12 A 25;11;1;3602330;;inveravicentro@hotmail.com;www.comxport.com/.../inversiones_avicentro_sa-colombia-26916.php;CRA 34 12 A 25;11;1;3602330;;inveravicentro@hotmail.com;www.comxport.com/.../inversiones_avicentro_sa-colombia-26916.php;5;MARIA EMILCE RODRIGUEZ SAENZ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
844681;1;811030610;;;;;1011;99;HARIPIELES S.A.S;HARIPIELES S.A.S;;KM 46 AUT. MED/BGTA  VEREDA EL CHAGUALO - MARINILLA;5;440;5483243;;haripieles@hotmail.com;;KM 46 AUT. MED/BGTA  VEREDA EL CHAGUALO - MARINILLA;5;440;5483243;;haripieles@hotmail.com;;14;MARIA GIRLEZA CANAVERAL;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000;2;20281721;;;;;1011;99;MARTIN AMINTA MARTINEZ DE;SALSAMENTARIA SAN JUAN;;DG 42 SUR # 24 B-20;11;1;2798416;;oguerrrero@industiraalimenticiasanjuan.com;www.industriaalimenticiasanjuan.com;DG 42 SUR # 24 B-20;11;1;7605767;;gerencia@industriaalimenticiasanjuan.com;www.industriaalimenticiasanjuan.com;11;AMINTA MARTINEZ DE MARTIN;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
840738;1;811012909;;;;;1011;99;CARNICOS BELLO HATO SAS;CARNICOS BELLO HATO SAS;;CL 50 # 47 68;5;88;5204210;;cbellohato@gmail.com.co;;CL 50 47 68;5;88;5204210;;"cbellohato@une.net.co; cbellohato@gmail.com.co";;14;YONY ALEXANDER LOPEZ VASQUEZ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
843779;1;900324132;;;;;1011;99;SUPERCARNES JH SAS;SUPERCARNES JH;;CL 67 A # 51 D- 33;5;1;3667030;;supercanesjhsas@hotmail.com;;CL 67 A # 51 D- 33;5;1;3667030;;supercarnesjhsas@hotmail.com;;14;GUTIERREZ OSORIO RUBY;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
843666;1;817005629;;;;;1011;99;COOPERATIVA DE TRABAJADORES DEL MATADERO;COOPERATIVA DE TRABAJADORES DEL MATADERO;;Cra 1 E No.14-00;19;1;8318443;;cootramat@hotmail.com;;Cra 1 E No.14-00;19;1;8318443;;cootramat@hotmail.com;;13;JESUS ALBERTO FAJARDO;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120037;1;860353447;;;;;1011;99;DELIPAVO LTDA.;DELIPAVO LTDA.;;AU MEDELLIN KM 10   600 MTS COSTADO NORTE;25;799;8657620;;delipavo@delipavo.com.co;www.delipavo.com.co;AU MEDELLIN KM 10   600 MTS COSTADO NORTE;25;799;8657620;;contabilidad@delipavo.com.co;www.delipavo.com.co;4;XIMENA TRUJILLO CABRERA;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620734;1;890317831;;;;;1011;99;CARNES Y DERIVADOS DE OCCIDENTE S. A.;CARNES Y DERIVADOS DE OCCIDENTE S. A.;;KM 11 VIA CALI-CANDELARIA;76;130;4484052;;cyd@carnesyderivados.com.co;www.carnesyderivados.com;KM 11   VIA CALI - CANDELARIA;76;130;4484051;;cyd@carnesyderivados.com;www.carnesyderivados.com;5;VICTORIA EUGENIA GALVEZ FERNANDEZ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122212;1;830136379;;;;;1011;99;CARNES FINAS GUADALUPE SAS;CARNES FINAS GUADALUPE SAS;;KR 39 # 130-57;11;1;2586957;;cfguadalupeltda@etb.net.co;NO;KR 49 # 130-57;11;1;2586957;;tecasasorias1@yahoo.com;NO;14;MARIA CRISTINA OBANDO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6890;1;890329874;;;;;1011;99;ALIMENTOS LA CALI S.A.;ALIMENTOS LACALI S.A.;;CALLE 1 TRANVERSAL  3- 240;76;520;4419595;;lacali@lacali.com;www.lacali.com;CL 1 TRANVERSAL 3-240;76;520;4419595;;hmarin@lacali.com,lmarcila@lacali.com;www.lacali.com;5;DUFFAY RIOS;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
997;1;860026428;;;;;1011;99;KOYOMAD PRODUCTOS CARNICOS S.A.;KOYOMAD S.A.;;KR 40  # 17A - 11;11;1;3351440;;contabilidad@koyomad.com;koyomad.com;KR 40 # 17A - 11;11;1;3351440;;contabilidad@koyomad.com;koyomad.com;5;JOHANN BAPTIST KOLLER WILD;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5226;1;860048371;;;;;1011;99;PROTEINAS Y ENERGETICOS DE COLOMBIA S.A.;PROTEICOL S.A.;;AUT SUR KM 14 FTE ICOLLANTAS;25;740;7198080;;info_general@proteicol.com.co;;AUT SUR KM 14 FTE  ICOLLANTAS;25;740;7198080;;avalencia@agrosan.com.co;;5;BEATRIZ ELENA LOPEZ SALAZAR;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
840518;1;800188270;;;;;1011;99;AVICULTURA TECNICA S.A;AVITES S.A;;KM 5 VIA CERETE-CIENAGA DE ORO;23;189;7642129;;avites@agroempresas.com.co;;KM 5 VIA CERETE-CIENAGA DE ORO;23;189;7642129;;avites@agroempresas.com.co;;5;JAVIER ANTONIO NEGRETTE ARRIETA;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5128;1;860522164;;;;;1011;99;COOP. DE PRODUCCION Y TRABAJO VENCEDOR;COOP. DE PRODUCCION Y TRABAJO VENCEDOR;;KR 33 # 17B-45;11;1;3759900;;contabilidad@vencedor.coop;www.pollosvencedor.coop;KR 33 # 17B - 45;11;1;3759900;;contabilidad@vencedor.coop;www.pollosvencedor.coop;12.6;JOSE LUIS FONSECA ZARATE;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
